id;codigo;descripcion
1;following morning;maintainer homely
2;although too;modulo always
3;longingly;since once
4;by atop;yowza worriedly
5;yowza whenever;bitter
6;mild unto rewrite;runny purple
7;frankly;whereas mainstream cruelly
8;drab;case scuffle gurn
9;than for;and hunger
10;certification;hydrolyze before
11;concerning;spellcheck short-term
12;apt;mousse
13;flint truly;although
14;indeed drat qua;abnormally
15;after;mostly floss
16;debut but;ultimately ah
17;qua;nephew
18;joshingly stump;celebrated oof
19;other outdo voluminous;quarterly mean battle
20;wobbly;fairly long
21;abaft well-made boo;obediently circa
22;reasonable solemnly inject;quarrelsomely pish uselessly
23;brr;grumpy rudely plump
24;questioningly lazily;outside sheepishly yippee
25;needily correctly;though
26;young wherever;plus
27;knowledgeably ah distinction;replacement astride
28;geez with under;boohoo honestly coop
29;geez;foolishly silently formal
30;because horse;murky
